,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
275,"Why do you wear that thing, Dobby?","Of course, Dobby is still treated like vermin.","We house-elves were treated like vermin, sir.",Dobby remembers how it was before HARRY Potter triumphed over He-Who-Must-Not-Be-Named.,Never kill you.,"Not kill you, sir.",I don't suppose you could tell me why you're trying to kill me?,Dobby gets them five times a day at home.,"Dobby is used to death threats, sir.","You better clear off before my bones come back Dobby, or I might strangle you.",Dobby had to iron his hands.
276,Repeat itself? You mean this has happened before?,HARRY Potter must not stay here...now that history is to repeat itself.,Terrible things are about to happen at Hogwarts.,Listen!,Listen.,Dobby can only be freed if his master presents him with clothes.,"This, sir? It is a mark of the house-elf's enslavement.","Why do you wear that thing, Dobby?","Of course, Dobby is still treated like vermin.","We house-elves were treated like vermin, sir.",Dobby remembers how it was before HARRY Potter triumphed over He-Who-Must-Not-Be-Named.
277,Stop it!,Bad Dobby! Bad!,Oahh! I shouldn't have said that.,Repeat itself? You mean this has happened before?,HARRY Potter must not stay here...now that history is to repeat itself.,Terrible things are about to happen at Hogwarts.,Listen!,Listen.,Dobby can only be freed if his master presents him with clothes.,"This, sir? It is a mark of the house-elf's enslavement.","Why do you wear that thing, Dobby?"
278,"Stop it, Dobby!",Stop it!,Bad Dobby! Bad!,Oahh! I shouldn't have said that.,Repeat itself? You mean this has happened before?,HARRY Potter must not stay here...now that history is to repeat itself.,Terrible things are about to happen at Hogwarts.,Listen!,Listen.,Dobby can only be freed if his master presents him with clothes.,"This, sir? It is a mark of the house-elf's enslavement."
279,Tell me Dobby when did this happen before?,"Stop it, Dobby!",Stop it!,Bad Dobby! Bad!,Oahh! I shouldn't have said that.,Repeat itself? You mean this has happened before?,HARRY Potter must not stay here...now that history is to repeat itself.,Terrible things are about to happen at Hogwarts.,Listen!,Listen.,Dobby can only be freed if his master presents him with clothes.
280,Who's doing it now?,Tell me Dobby when did this happen before?,"Stop it, Dobby!",Stop it!,Bad Dobby! Bad!,Oahh! I shouldn't have said that.,Repeat itself? You mean this has happened before?,HARRY Potter must not stay here...now that history is to repeat itself.,Terrible things are about to happen at Hogwarts.,Listen!,Listen.
281,"No, Dobby. Tell me.",Dobby only wants HARRY Potter to be safe.,"Dobby cannot say, sir. ",Who's doing it now?,Tell me Dobby when did this happen before?,"Stop it, Dobby!",Stop it!,Bad Dobby! Bad!,Oahh! I shouldn't have said that.,Repeat itself? You mean this has happened before?,HARRY Potter must not stay here...now that history is to repeat itself.
282,Who is it?,"No, Dobby. Tell me.",Dobby only wants HARRY Potter to be safe.,"Dobby cannot say, sir. ",Who's doing it now?,Tell me Dobby when did this happen before?,"Stop it, Dobby!",Stop it!,Bad Dobby! Bad!,Oahh! I shouldn't have said that.,Repeat itself? You mean this has happened before?
283,"Thank you, sir.","Good luck, Potter.","Malfoy, perhaps?",Might I suggest someone from my own house?,We'll be sending Potter to the hospital wing in a matchbox.,Weasley's wand causes devastation with the simplest spells.,"Potter, Weasley, how about you?",Let's have a volunteer pair. ,"An excellent suggestion, Professor Snape..","Perhaps it would be prudent to first teach the students to block unfriendly spells, professor.","If I had wanted to stop you, it would have been only too easy."
284,You wish.,"Scared, Potter?",Wands at the ready.,"Thank you, sir.","Good luck, Potter.","Malfoy, perhaps?",Might I suggest someone from my own house?,We'll be sending Potter to the hospital wing in a matchbox.,Weasley's wand causes devastation with the simplest spells.,"Potter, Weasley, how about you?",Let's have a volunteer pair. 
285,Rictusempra!,Everte Statum!,One. Two...,We don't want any accidents here.,On the count of three cast your charms to disarm your opponent. Only to disarm.,You wish.,"Scared, Potter?",Wands at the ready.,"Thank you, sir.","Good luck, Potter.","Malfoy, perhaps?"
286,I'm a what?,Why didn't you tell us?,You're a Parselmouth?,What are you playing at?,Vipera Evanesca.,Alarte Ascendare!,"Allow me, Professor Snape.",I'll get rid of it for you.,"Don't move, Potter.",Serpensortia!,I said disarm only.
287,I know. I accidentally set a python on my cousin Dudley at the zoo once.,You can talk to snakes.,I'm a what?,Why didn't you tell us?,You're a Parselmouth?,What are you playing at?,Vipera Evanesca.,Alarte Ascendare!,"Allow me, Professor Snape.",I'll get rid of it for you.,"Don't move, Potter."
288,Once. But so what?,I know. I accidentally set a python on my cousin Dudley at the zoo once.,You can talk to snakes.,I'm a what?,Why didn't you tell us?,You're a Parselmouth?,What are you playing at?,Vipera Evanesca.,Alarte Ascendare!,"Allow me, Professor Snape.",I'll get rid of it for you.
289,I bet loads of people here can do it.,Once. But so what?,I know. I accidentally set a python on my cousin Dudley at the zoo once.,You can talk to snakes.,I'm a what?,Why didn't you tell us?,You're a Parselmouth?,What are you playing at?,Vipera Evanesca.,Alarte Ascendare!,"Allow me, Professor Snape."
290,What's bad? If I hadn't told that snake not to attack Justin...,This is bad.,"It's not a very common gift, HARRY.","No, they can't.",I bet loads of people here can do it.,Once. But so what?,I know. I accidentally set a python on my cousin Dudley at the zoo once.,You can talk to snakes.,I'm a what?,Why didn't you tell us?,You're a Parselmouth?
291,You were there. You heard me.,That's what you said to it.,What's bad? If I hadn't told that snake not to attack Justin...,This is bad.,"It's not a very common gift, HARRY.","No, they can't.",I bet loads of people here can do it.,Once. But so what?,I know. I accidentally set a python on my cousin Dudley at the zoo once.,You can talk to snakes.,I'm a what?
292,I spoke a different language?,Snake language.,I heard you speaking Parseltongue.,You were there. You heard me.,That's what you said to it.,What's bad? If I hadn't told that snake not to attack Justin...,This is bad.,"It's not a very common gift, HARRY.","No, they can't.",I bet loads of people here can do it.,Once. But so what?
293,But I didn't realize...,I spoke a different language?,Snake language.,I heard you speaking Parseltongue.,You were there. You heard me.,That's what you said to it.,What's bad? If I hadn't told that snake not to attack Justin...,This is bad.,"It's not a very common gift, HARRY.","No, they can't.",I bet loads of people here can do it.
294,How can I speak a language without knowing I can?,But I didn't realize...,I spoke a different language?,Snake language.,I heard you speaking Parseltongue.,You were there. You heard me.,That's what you said to it.,What's bad? If I hadn't told that snake not to attack Justin...,This is bad.,"It's not a very common gift, HARRY.","No, they can't."
295,But I'm not.,Now the whole school's gonna think you're his great-great-great grandson.,Exactly.,He could talk to snakes too.,Salazar Slytherin was a Parselmouth.,There's a reason the symbol of Slytherin house is a serpent.,"HARRY, listen to me.","I don't know, but it sounded like you were egging the snake on or something.",How can I speak a language without knowing I can?,But I didn't realize...,I spoke a different language?
296,I can't be.,But I'm not.,Now the whole school's gonna think you're his great-great-great grandson.,Exactly.,He could talk to snakes too.,Salazar Slytherin was a Parselmouth.,There's a reason the symbol of Slytherin house is a serpent.,"HARRY, listen to me.","I don't know, but it sounded like you were egging the snake on or something.",How can I speak a language without knowing I can?,But I didn't realize...
297,I'll see you back in the common room.,"For all we know, you could be.",He lived a thousand years ago.,I can't be.,But I'm not.,Now the whole school's gonna think you're his great-great-great grandson.,Exactly.,He could talk to snakes too.,Salazar Slytherin was a Parselmouth.,There's a reason the symbol of Slytherin house is a serpent.,"HARRY, listen to me."
298,No. Mr. Filch! You don't understand...,Mark my words.,"I'll have you out this time, Potter.",Caught in the act.,Time to kill.,Kill. Kill. Kill.,They all must die.,I want blood.,I'll see you back in the common room.,"For all we know, you could be.",He lived a thousand years ago.
299,Professor I swear I didn't.,No. Mr. Filch! You don't understand...,Mark my words.,"I'll have you out this time, Potter.",Caught in the act.,Time to kill.,Kill. Kill. Kill.,They all must die.,I want blood.,I'll see you back in the common room.,"For all we know, you could be."
300,Professor Dumbledore?,Sherbet Lemon.,Professor Dumbledore will be waiting for you.,"This is out of my hands, Potter.",Professor I swear I didn't.,No. Mr. Filch! You don't understand...,Mark my words.,"I'll have you out this time, Potter.",Caught in the act.,Time to kill.,Kill. Kill. Kill.
301,I...I..I was just wondering if you put me in the right house.,"Bee in your bonnet, Potter?",Professor Dumbledore?,Sherbet Lemon.,Professor Dumbledore will be waiting for you.,"This is out of my hands, Potter.",Professor I swear I didn't.,No. Mr. Filch! You don't understand...,Mark my words.,"I'll have you out this time, Potter.",Caught in the act.
302,You're wrong.,You would have done well in Slytherin.,But I stand by what I said last year.,Yes. You were particularly difficult to place.,I...I..I was just wondering if you put me in the right house.,"Bee in your bonnet, Potter?",Professor Dumbledore?,Sherbet Lemon.,Professor Dumbledore will be waiting for you.,"This is out of my hands, Potter.",Professor I swear I didn't.
303,Professor.,HARRY?,You're wrong.,You would have done well in Slytherin.,But I stand by what I said last year.,Yes. You were particularly difficult to place.,I...I..I was just wondering if you put me in the right house.,"Bee in your bonnet, Potter?",Professor Dumbledore?,Sherbet Lemon.,Professor Dumbledore will be waiting for you.
304,Your bird...There was nothing I could do.,Professor.,HARRY?,You're wrong.,You would have done well in Slytherin.,But I stand by what I said last year.,Yes. You were particularly difficult to place.,I...I..I was just wondering if you put me in the right house.,"Bee in your bonnet, Potter?",Professor Dumbledore?,Sherbet Lemon.
305,He just caught fire.,Your bird...There was nothing I could do.,Professor.,HARRY?,You're wrong.,You would have done well in Slytherin.,But I stand by what I said last year.,Yes. You were particularly difficult to place.,I...I..I was just wondering if you put me in the right house.,"Bee in your bonnet, Potter?",Professor Dumbledore?
306,"You don't think it was me, professor?",Yes.,"I'll just wait outside, then.","Ohh! Oww! Right. Well, I'll...",Of course you don't.,I do not believe that HARRY attacked anyone.,Hagriiid!! Relax.,I'd be prepared to swear it in front of the Ministry of Magic.,"Professor Dumbledore, sir, it wasn't HARRY.",Wait! Listen!,"Professor Dumbledore, sir!"
307,"No, sir. Nothing",But I must ask you is there something you wish to tell me?,"No, HARRY. I do not think it was you.","You don't think it was me, professor?",Yes.,"I'll just wait outside, then.","Ohh! Oww! Right. Well, I'll...",Of course you don't.,I do not believe that HARRY attacked anyone.,Hagriiid!! Relax.,I'd be prepared to swear it in front of the Ministry of Magic.
308,Crabbe and Goyle.,We just need a bit of who you're changing into.,Everything's set. ,Off you go.,"Very well, then.","No, sir. Nothing",But I must ask you is there something you wish to tell me?,"No, HARRY. I do not think it was you.","You don't think it was me, professor?",Yes.,"I'll just wait outside, then."
309,"Ron, maybe I should do it.",Make sure that Crabbe and Goyle find these.,I'm going to go check on the Polyjuice Potion.,I got this off her robes.,Millicent Bulstrode. Slytherin.,I've already got mine.,"Whose hair are you ripping out, then?","Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms.","Simple, but powerful.",I filled these with a simple Sleeping Draught.,I've got it all worked out.
310,Wingardium Leviosa.,Yeah. Right.,"Ron, maybe I should do it.",Make sure that Crabbe and Goyle find these.,I'm going to go check on the Polyjuice Potion.,I got this off her robes.,Millicent Bulstrode. Slytherin.,I've already got mine.,"Whose hair are you ripping out, then?","Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms.","Simple, but powerful."
